operation,run,round,seed,order,execution_sequence,d12c_explicit_ns,d13_explicit_ns
keygen,1,0,0,legacy-first,d12c-then-d13,106841000,106582000
keygen,1,1,0,explicit-first,d12c-then-d13,106582000,107378000
keygen,1,2,1,legacy-first,d12c-then-d13,158832000,159576000
keygen,1,3,1,explicit-first,d12c-then-d13,158521000,159980000
keygen,1,4,2,legacy-first,d12c-then-d13,227810000,227861000
keygen,1,5,2,explicit-first,d12c-then-d13,228608000,228317000
keygen,1,6,3,legacy-first,d12c-then-d13,150176000,150783000
keygen,1,7,3,explicit-first,d12c-then-d13,150799000,150996000
keygen,1,8,4,legacy-first,d12c-then-d13,228796000,229472000
keygen,1,9,4,explicit-first,d12c-then-d13,228449000,229622000
keygen,1,10,5,legacy-first,d12c-then-d13,354817000,356985000
keygen,1,11,5,explicit-first,d12c-then-d13,354952000,356625000
keygen,1,12,6,legacy-first,d12c-then-d13,461714000,463439000
keygen,1,13,6,explicit-first,d12c-then-d13,462965000,462482000
keygen,1,14,7,legacy-first,d12c-then-d13,191339000,191926000
keygen,1,15,7,explicit-first,d12c-then-d13,191202000,192211000
keygen,1,16,8,legacy-first,d12c-then-d13,274539000,274526000
keygen,1,17,8,explicit-first,d12c-then-d13,273971000,274559000
keygen,1,18,9,legacy-first,d12c-then-d13,583402000,587907000
keygen,1,19,9,explicit-first,d12c-then-d13,585616000,586892000
keygen,1,20,10,legacy-first,d12c-then-d13,199291000,199557000
keygen,1,21,10,explicit-first,d12c-then-d13,199282000,200123000
keygen,1,22,11,legacy-first,d12c-then-d13,112866000,113183000
keygen,1,23,11,explicit-first,d12c-then-d13,113134000,113525000
keygen,1,24,12,legacy-first,d12c-then-d13,273013000,274664000
keygen,1,25,12,explicit-first,d12c-then-d13,275300000,275265000
keygen,1,26,13,legacy-first,d12c-then-d13,239070000,239046000
keygen,1,27,13,explicit-first,d12c-then-d13,238105000,238393000
keygen,1,28,14,legacy-first,d12c-then-d13,363303000,362003000
keygen,1,29,14,explicit-first,d12c-then-d13,362279000,363007000
keygen,2,0,0,legacy-first,d13-then-d12c,106187000,106809000
keygen,2,1,0,explicit-first,d13-then-d12c,106600000,106944000
keygen,2,2,1,legacy-first,d13-then-d12c,158685000,158918000
keygen,2,3,1,explicit-first,d13-then-d12c,158372000,159253000
keygen,2,4,2,legacy-first,d13-then-d12c,227994000,228639000
keygen,2,5,2,explicit-first,d13-then-d12c,227268000,227748000
keygen,2,6,3,legacy-first,d13-then-d12c,150046000,150880000
keygen,2,7,3,explicit-first,d13-then-d12c,149888000,150661000
keygen,2,8,4,legacy-first,d13-then-d12c,228191000,229686000
keygen,2,9,4,explicit-first,d13-then-d12c,227700000,229448000
keygen,2,10,5,legacy-first,d13-then-d12c,355079000,357886000
keygen,2,11,5,explicit-first,d13-then-d12c,355249000,355744000
keygen,2,12,6,legacy-first,d13-then-d12c,461435000,462384000
keygen,2,13,6,explicit-first,d13-then-d12c,462272000,461737000
keygen,2,14,7,legacy-first,d13-then-d12c,191006000,190932000
