round,order,operation,iterations,fixed_ns,mini_ns,checksum,canonical_result
0,fixed-then-mini,mul,1000,197000,470000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
0,fixed-then-mini,div,1000,494000,1230000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
0,fixed-then-mini,gcd,1000,92608000,41018000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
0,fixed-then-mini,invmod,1000,76922000,44810000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
0,fixed-then-mini,sqrt,1000,5760000,6783000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
1,mini-then-fixed,mul,1000,195000,318000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
1,mini-then-fixed,div,1000,581000,730000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
1,mini-then-fixed,gcd,1000,91340000,36663000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1,mini-then-fixed,invmod,1000,76729000,44666000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
1,mini-then-fixed,sqrt,1000,5833000,6756000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
