comparison,operation,round,kat_count,order,a_label,a_elapsed_ns,b_label,b_elapsed_ns
system-vs-mini-native,keygen,0,0,a-then-b,system-native,72037000,mini-native,90606000
system-vs-mini-native,keygen,1,1,b-then-a,system-native,36390000,mini-native,49923000
system-vs-mini-native,keygen,2,2,a-then-b,system-native,37138000,mini-native,52054000
system-vs-mini-native,keygen,3,3,b-then-a,system-native,41737000,mini-native,58513000
system-vs-mini-native,keygen,4,4,a-then-b,system-native,31875000,mini-native,44527000
system-vs-mini-native,keygen,5,5,b-then-a,system-native,43213000,mini-native,56935000
system-vs-mini-native,keygen,6,6,a-then-b,system-native,45910000,mini-native,65761000
system-vs-mini-native,keygen,7,7,b-then-a,system-native,38545000,mini-native,51443000
system-vs-mini-native,keygen,8,8,a-then-b,system-native,66388000,mini-native,88115000
system-vs-mini-native,keygen,9,9,b-then-a,system-native,62882000,mini-native,77161000
system-vs-mini-native,keygen,10,10,a-then-b,system-native,45500000,mini-native,61336000
system-vs-mini-native,keygen,11,11,b-then-a,system-native,34464000,mini-native,46077000
system-vs-mini-native,keygen,12,12,a-then-b,system-native,42419000,mini-native,57843000
system-vs-mini-native,keygen,13,13,b-then-a,system-native,39953000,mini-native,50352000
system-vs-mini-native,keygen,14,14,a-then-b,system-native,47866000,mini-native,66052000
system-vs-mini-native,keygen,15,0,b-then-a,system-native,58502000,mini-native,76662000
system-vs-mini-native,keygen,16,1,a-then-b,system-native,36648000,mini-native,49869000
system-vs-mini-native,keygen,17,2,b-then-a,system-native,37239000,mini-native,52169000
system-vs-mini-native,keygen,18,3,a-then-b,system-native,41848000,mini-native,58364000
system-vs-mini-native,keygen,19,4,b-then-a,system-native,32140000,mini-native,44585000
system-vs-mini-native,keygen,20,5,a-then-b,system-native,43148000,mini-native,56872000
system-vs-mini-native,keygen,21,6,b-then-a,system-native,46108000,mini-native,65663000
system-vs-mini-native,keygen,22,7,a-then-b,system-native,38855000,mini-native,51420000
system-vs-mini-native,keygen,23,8,b-then-a,system-native,66286000,mini-native,88237000
system-vs-mini-native,keygen,24,9,a-then-b,system-native,63302000,mini-native,77304000
system-vs-mini-native,keygen,25,10,b-then-a,system-native,45624000,mini-native,61222000
system-vs-mini-native,keygen,26,11,a-then-b,system-native,34858000,mini-native,46106000
system-vs-mini-native,keygen,27,12,b-then-a,system-native,42452000,mini-native,57760000
system-vs-mini-native,keygen,28,13,a-then-b,system-native,39923000,mini-native,50505000
system-vs-mini-native,keygen,29,14,b-then-a,system-native,47778000,mini-native,65904000
system-vs-mini-native,sign,0,0,a-then-b,system-native,124058000,mini-native,175872000
system-vs-mini-native,sign,1,1,b-then-a,system-native,90029000,mini-native,131567000
system-vs-mini-native,sign,2,2,a-then-b,system-native,113096000,mini-native,152059000
system-vs-mini-native,sign,3,3,b-then-a,system-native,102203000,mini-native,145158000
system-vs-mini-native,sign,4,4,a-then-b,system-native,128580000,mini-native,177603000
system-vs-mini-native,sign,5,5,b-then-a,system-native,109141000,mini-native,159463000
system-vs-mini-native,sign,6,6,a-then-b,system-native,132677000,mini-native,185006000
system-vs-mini-native,sign,7,7,b-then-a,system-native,94025000,mini-native,129036000
system-vs-mini-native,sign,8,8,a-then-b,system-native,95245000,mini-native,136396000
system-vs-mini-native,sign,9,9,b-then-a,system-native,135622000,mini-native,219459000
system-vs-mini-native,sign,10,10,a-then-b,system-native,123055000,mini-native,186303000
system-vs-mini-native,sign,11,11,b-then-a,system-native,117268000,mini-native,164367000
system-vs-mini-native,sign,12,12,a-then-b,system-native,104894000,mini-native,158123000
system-vs-mini-native,sign,13,13,b-then-a,system-native,88682000,mini-native,122493000
system-vs-mini-native,sign,14,14,a-then-b,system-native,84326000,mini-native,112304000
system-vs-mini-native,sign,15,0,b-then-a,system-native,123852000,mini-native,175184000
system-vs-mini-native,sign,16,1,a-then-b,system-native,90485000,mini-native,131697000
system-vs-mini-native,sign,17,2,b-then-a,system-native,113041000,mini-native,151913000
system-vs-mini-native,sign,18,3,a-then-b,system-native,102425000,mini-native,145432000
system-vs-mini-native,sign,19,4,b-then-a,system-native,128672000,mini-native,177643000
system-vs-mini-native,sign,20,5,a-then-b,system-native,108849000,mini-native,159876000
system-vs-mini-native,sign,21,6,b-then-a,system-native,132915000,mini-native,185131000
system-vs-mini-native,sign,22,7,a-then-b,system-native,93966000,mini-native,129200000
system-vs-mini-native,sign,23,8,b-then-a,system-native,95117000,mini-native,136323000
system-vs-mini-native,sign,24,9,a-then-b,system-native,135060000,mini-native,219496000
system-vs-mini-native,sign,25,10,b-then-a,system-native,123090000,mini-native,187134000
system-vs-mini-native,sign,26,11,a-then-b,system-native,117317000,mini-native,164034000
system-vs-mini-native,sign,27,12,b-then-a,system-native,105168000,mini-native,157890000
system-vs-mini-native,sign,28,13,a-then-b,system-native,88614000,mini-native,123118000
system-vs-mini-native,sign,29,14,b-then-a,system-native,84424000,mini-native,112355000
system-vs-mini-native,verify,0,0,a-then-b,system-native,5608000,mini-native,5577000
system-vs-mini-native,verify,1,1,b-then-a,system-native,5552000,mini-native,5520000
system-vs-mini-native,verify,2,2,a-then-b,system-native,5460000,mini-native,5485000
system-vs-mini-native,verify,3,3,b-then-a,system-native,5583000,mini-native,5572000
system-vs-mini-native,verify,4,4,a-then-b,system-native,5559000,mini-native,5570000
system-vs-mini-native,verify,5,5,b-then-a,system-native,5556000,mini-native,5543000
system-vs-mini-native,verify,6,6,a-then-b,system-native,5543000,mini-native,5565000
system-vs-mini-native,verify,7,7,b-then-a,system-native,5526000,mini-native,5502000
system-vs-mini-native,verify,8,8,a-then-b,system-native,5476000,mini-native,5510000
system-vs-mini-native,verify,9,9,b-then-a,system-native,5516000,mini-native,5493000
system-vs-mini-native,verify,10,10,a-then-b,system-native,5506000,mini-native,5547000
