implementation,pass,key_index,samples,median_ns,mean_ns,stdev_ns,mad_ns,min_ns,max_ns,signature_fnv1a64
official,a,0,30,53791500,53808900,164922.41645172393,101500.0,53549000,54226000,0617d6741d8fd4e4
official,a,1,30,34946000,34968933.333333336,151331.54589050228,84500.0,34703000,35477000,00d7bdc064a43a01
official,a,2,30,37655500,37704433.333333336,194434.04756002667,83500.0,37474000,38316000,8377eaac40e0e967
official,a,3,30,38731000,38749666.666666664,115863.2765399577,62500.0,38565000,39009000,cbf924fdba614a84
official,a,4,30,35036000,35062500,94590.13216741098,63500.0,34938000,35273000,267be939651e4196
official,a,5,30,41536000,41599233.333333336,182248.16035840524,86000.0,41347000,42145000,1fdd60a5d4da0c58
official,a,6,30,34496000,34544666.666666664,182828.4165141116,76500.0,34354000,35145000,42b7d92684927db5
official,a,7,30,38106000,38150133.333333336,172973.73397044465,102000.0,37922000,38686000,e6a4fb77cd98825a
official,a,8,30,34340500,34343100,99784.0253955408,62500.0,34209000,34606000,65f7bb9d831e4524
official,a,9,30,34594000,34656900,169884.818992569,64000.0,34438000,35120000,1dd01d463a1ae956
official,b,0,30,54088000,54130600,289174.1630085996,141500.0,53787000,55011000,0617d6741d8fd4e4
official,b,1,30,35244500,35319366.666666664,328465.44806830544,144000.0,34885000,36221000,00d7bdc064a43a01
official,b,2,30,37931500,38025866.666666664,347579.08882512734,94500.0,37607000,38776000,8377eaac40e0e967
official,b,3,30,39004000,39092433.333333336,324232.5350448489,175500.0,38681000,40133000,cbf924fdba614a84
official,b,4,30,35370500,35431366.666666664,293159.54033930745,127000.0,34982000,36107000,267be939651e4196
official,b,5,30,41868000,42019800,512982.18023765634,119500.0,41627000,43703000,1fdd60a5d4da0c58
official,b,6,30,34846500,34860933.333333336,256282.83585527726,145000.0,34461000,35440000,42b7d92684927db5
official,b,7,30,38475000,38521400,302755.9162553,173500.0,38069000,39348000,e6a4fb77cd98825a
official,b,8,30,34695000,34801500,417007.4629283402,188000.0,34339000,36473000,65f7bb9d831e4524
official,b,9,30,34962000,35283366.666666664,1545470.8351498744,189000.0,34618000,43293000,1dd01d463a1ae956
d1,a,0,30,54566000,54570533.333333336,293263.884150651,163500.0,54069000,55502000,0617d6741d8fd4e4
d1,a,1,30,35582500,35684633.333333336,438634.2033720308,162500.0,35095000,37552000,00d7bdc064a43a01
d1,a,2,30,38469500,38638766.666666664,646057.9499647409,241000.0,38043000,41082000,8377eaac40e0e967
d1,a,3,30,39509000,39469966.666666664,289862.0936468467,205000.0,38911000,40099000,cbf924fdba614a84
d1,a,4,30,35755500,35751633.333333336,270215.81200490706,197000.0,35370000,36328000,267be939651e4196
d1,a,5,30,42413000,42508633.333333336,420797.55828363745,206000.0,41924000,43295000,1fdd60a5d4da0c58
d1,a,6,30,35131000,35163133.333333336,250297.44144797465,95500.0,34825000,35936000,42b7d92684927db5
d1,a,7,30,38874500,38842433.333333336,243317.54239425814,185000.0,38405000,39466000,e6a4fb77cd98825a
d1,a,8,30,35027000,35104000,352571.44054738065,220000.0,34605000,35949000,65f7bb9d831e4524
d1,a,9,30,35210500,35302600,354573.81897631456,179500.0,34875000,36470000,1dd01d463a1ae956
d1,b,0,30,54744000,54917033.333333336,422147.58681943367,125500.0,54449000,55826000,0617d6741d8fd4e4
d1,b,1,30,35862500,35954466.666666664,360684.190196176,186000.0,35308000,36672000,00d7bdc064a43a01
d1,b,2,30,38597000,38672033.333333336,388067.936047937,169000.0,38086000,39753000,8377eaac40e0e967
d1,b,3,30,39570000,39665033.333333336,327638.5185697413,202000.0,39193000,40338000,cbf924fdba614a84
d1,b,4,30,35841000,35935266.666666664,295881.37573315954,155000.0,35489000,36744000,267be939651e4196
d1,b,5,30,42558000,42614233.333333336,377968.1325130497,266500.0,42051000,43373000,1fdd60a5d4da0c58
d1,b,6,30,35408000,35504100,364239.1550464688,205000.0,35026000,36453000,42b7d92684927db5
d1,b,7,30,39011000,39085700,342921.23856954236,188500.0,38618000,39880000,e6a4fb77cd98825a
d1,b,8,30,35149500,35359633.333333336,452887.55423571664,139500.0,34802000,36969000,65f7bb9d831e4524
d1,b,9,30,35555000,35599666.666666664,349713.511649014,256000.0,35010000,36244000,1dd01d463a1ae956
