implementation,pass,sequence,key_index,elapsed_ns,signed_message_length,signature_fnv1a64,sign_rc,verify_rc
official,a,0,2,37474000,233,8377eaac40e0e967,0,0
official,a,1,4,34938000,233,267be939651e4196,0,0
official,a,2,3,38791000,233,cbf924fdba614a84,0,0
official,a,3,6,34385000,233,42b7d92684927db5,0,0
official,a,4,8,34326000,233,65f7bb9d831e4524,0,0
official,a,5,2,37622000,233,8377eaac40e0e967,0,0
official,a,6,5,41539000,233,1fdd60a5d4da0c58,0,0
official,a,7,2,38097000,233,8377eaac40e0e967,0,0
official,a,8,7,38460000,233,e6a4fb77cd98825a,0,0
official,a,9,1,35060000,233,00d7bdc064a43a01,0,0
official,a,10,9,34842000,233,1dd01d463a1ae956,0,0
official,a,11,9,34679000,233,1dd01d463a1ae956,0,0
official,a,12,3,38731000,233,cbf924fdba614a84,0,0
official,a,13,1,35029000,233,00d7bdc064a43a01,0,0
official,a,14,7,37991000,233,e6a4fb77cd98825a,0,0
official,a,15,4,35120000,233,267be939651e4196,0,0
official,a,16,3,38615000,233,cbf924fdba614a84,0,0
official,a,17,5,41388000,233,1fdd60a5d4da0c58,0,0
official,a,18,3,38679000,233,cbf924fdba614a84,0,0
official,a,19,5,41389000,233,1fdd60a5d4da0c58,0,0
official,a,20,1,34968000,233,00d7bdc064a43a01,0,0
official,a,21,6,34490000,233,42b7d92684927db5,0,0
official,a,22,8,34241000,233,65f7bb9d831e4524,0,0
official,a,23,3,38614000,233,cbf924fdba614a84,0,0
official,a,24,7,38063000,233,e6a4fb77cd98825a,0,0
official,a,25,8,34281000,233,65f7bb9d831e4524,0,0
official,a,26,2,37603000,233,8377eaac40e0e967,0,0
official,a,27,1,34939000,233,00d7bdc064a43a01,0,0
official,a,28,6,34517000,233,42b7d92684927db5,0,0
official,a,29,3,38723000,233,cbf924fdba614a84,0,0
official,a,30,2,37580000,233,8377eaac40e0e967,0,0
official,a,31,7,38095000,233,e6a4fb77cd98825a,0,0
official,a,32,5,41897000,233,1fdd60a5d4da0c58,0,0
official,a,33,0,53692000,233,0617d6741d8fd4e4,0,0
official,a,34,7,38117000,233,e6a4fb77cd98825a,0,0
official,a,35,9,34659000,233,1dd01d463a1ae956,0,0
official,a,36,1,35035000,233,00d7bdc064a43a01,0,0
official,a,37,9,34438000,233,1dd01d463a1ae956,0,0
official,a,38,4,35048000,233,267be939651e4196,0,0
official,a,39,1,34859000,233,00d7bdc064a43a01,0,0
official,a,40,0,53688000,233,0617d6741d8fd4e4,0,0
official,a,41,7,38033000,233,e6a4fb77cd98825a,0,0
official,a,42,0,53761000,233,0617d6741d8fd4e4,0,0
official,a,43,1,35060000,233,00d7bdc064a43a01,0,0
official,a,44,0,53984000,233,0617d6741d8fd4e4,0,0
official,a,45,6,34430000,233,42b7d92684927db5,0,0
official,a,46,7,38039000,233,e6a4fb77cd98825a,0,0
official,a,47,4,35008000,233,267be939651e4196,0,0
official,a,48,5,41757000,233,1fdd60a5d4da0c58,0,0
official,a,49,0,53819000,233,0617d6741d8fd4e4,0,0
official,a,50,4,35273000,233,267be939651e4196,0,0
official,a,51,5,41536000,233,1fdd60a5d4da0c58,0,0
official,a,52,6,34480000,233,42b7d92684927db5,0,0
official,a,53,8,34372000,233,65f7bb9d831e4524,0,0
official,a,54,4,34973000,233,267be939651e4196,0,0
official,a,55,0,53791000,233,0617d6741d8fd4e4,0,0
official,a,56,7,38158000,233,e6a4fb77cd98825a,0,0
official,a,57,0,53686000,233,0617d6741d8fd4e4,0,0
official,a,58,2,37591000,233,8377eaac40e0e967,0,0
official,a,59,4,34973000,233,267be939651e4196,0,0
official,a,60,2,37774000,233,8377eaac40e0e967,0,0
official,a,61,5,41720000,233,1fdd60a5d4da0c58,0,0
official,a,62,3,38746000,233,cbf924fdba614a84,0,0
official,a,63,7,37978000,233,e6a4fb77cd98825a,0,0
official,a,64,5,41534000,233,1fdd60a5d4da0c58,0,0
official,a,65,8,34295000,233,65f7bb9d831e4524,0,0
official,a,66,6,34394000,233,42b7d92684927db5,0,0
official,a,67,3,38565000,233,cbf924fdba614a84,0,0
official,a,68,1,34876000,233,00d7bdc064a43a01,0,0
official,a,69,8,34287000,233,65f7bb9d831e4524,0,0
official,a,70,5,41482000,233,1fdd60a5d4da0c58,0,0
official,a,71,9,34592000,233,1dd01d463a1ae956,0,0
official,a,72,8,34209000,233,65f7bb9d831e4524,0,0
official,a,73,6,34354000,233,42b7d92684927db5,0,0
official,a,74,3,38680000,233,cbf924fdba614a84,0,0
official,a,75,6,34427000,233,42b7d92684927db5,0,0
official,a,76,5,41491000,233,1fdd60a5d4da0c58,0,0
official,a,77,5,41347000,233,1fdd60a5d4da0c58,0,0
official,a,78,9,34539000,233,1dd01d463a1ae956,0,0
official,a,79,8,34220000,233,65f7bb9d831e4524,0,0
official,a,80,0,53549000,233,0617d6741d8fd4e4,0,0
official,a,81,0,53698000,233,0617d6741d8fd4e4,0,0
official,a,82,6,34675000,233,42b7d92684927db5,0,0
official,a,83,4,35239000,233,267be939651e4196,0,0
official,a,84,8,34534000,233,65f7bb9d831e4524,0,0
official,a,85,9,34485000,233,1dd01d463a1ae956,0,0
official,a,86,2,37518000,233,8377eaac40e0e967,0,0
official,a,87,4,35128000,233,267be939651e4196,0,0
official,a,88,5,41408000,233,1fdd60a5d4da0c58,0,0
official,a,89,9,34596000,233,1dd01d463a1ae956,0,0
official,a,90,1,34860000,233,00d7bdc064a43a01,0,0
official,a,91,5,41663000,233,1fdd60a5d4da0c58,0,0
official,a,92,1,34703000,233,00d7bdc064a43a01,0,0
official,a,93,6,34452000,233,42b7d92684927db5,0,0
official,a,94,3,38726000,233,cbf924fdba614a84,0,0
official,a,95,7,37997000,233,e6a4fb77cd98825a,0,0
official,a,96,8,34411000,233,65f7bb9d831e4524,0,0
official,a,97,0,53662000,233,0617d6741d8fd4e4,0,0
official,a,98,3,38635000,233,cbf924fdba614a84,0,0
official,a,99,4,35030000,233,267be939651e4196,0,0
official,a,100,3,38728000,233,cbf924fdba614a84,0,0
official,a,101,0,53751000,233,0617d6741d8fd4e4,0,0
official,a,102,4,34958000,233,267be939651e4196,0,0
official,a,103,0,53775000,233,0617d6741d8fd4e4,0,0
official,a,104,6,34378000,233,42b7d92684927db5,0,0
official,a,105,4,35028000,233,267be939651e4196,0,0
official,a,106,4,34988000,233,267be939651e4196,0,0
official,a,107,6,34434000,233,42b7d92684927db5,0,0
official,a,108,1,34962000,233,00d7bdc064a43a01,0,0
official,a,109,2,37474000,233,8377eaac40e0e967,0,0
official,a,110,8,34213000,233,65f7bb9d831e4524,0,0
official,a,111,2,37680000,233,8377eaac40e0e967,0,0
official,a,112,8,34242000,233,65f7bb9d831e4524,0,0
official,a,113,4,35134000,233,267be939651e4196,0,0
official,a,114,1,34857000,233,00d7bdc064a43a01,0,0
official,a,115,1,34762000,233,00d7bdc064a43a01,0,0
official,a,116,9,34507000,233,1dd01d463a1ae956,0,0
official,a,117,4,34967000,233,267be939651e4196,0,0
official,a,118,1,34906000,233,00d7bdc064a43a01,0,0
official,a,119,5,41553000,233,1fdd60a5d4da0c58,0,0
official,a,120,8,34262000,233,65f7bb9d831e4524,0,0
official,a,121,2,37661000,233,8377eaac40e0e967,0,0
official,a,122,2,37503000,233,8377eaac40e0e967,0,0
official,a,123,9,34566000,233,1dd01d463a1ae956,0,0
official,a,124,2,37637000,233,8377eaac40e0e967,0,0
official,a,125,3,38611000,233,cbf924fdba614a84,0,0
official,a,126,8,34385000,233,65f7bb9d831e4524,0,0
official,a,127,3,38712000,233,cbf924fdba614a84,0,0
official,a,128,6,34901000,233,42b7d92684927db5,0,0
official,a,129,1,34984000,233,00d7bdc064a43a01,0,0
official,a,130,6,34552000,233,42b7d92684927db5,0,0
official,a,131,0,54101000,233,0617d6741d8fd4e4,0,0
official,a,132,4,35129000,233,267be939651e4196,0,0
official,a,133,6,34845000,233,42b7d92684927db5,0,0
official,a,134,9,34554000,233,1dd01d463a1ae956,0,0
official,a,135,7,38223000,233,e6a4fb77cd98825a,0,0
official,a,136,0,53651000,233,0617d6741d8fd4e4,0,0
official,a,137,3,38796000,233,cbf924fdba614a84,0,0
official,a,138,6,34369000,233,42b7d92684927db5,0,0
official,a,139,6,34559000,233,42b7d92684927db5,0,0
official,a,140,8,34298000,233,65f7bb9d831e4524,0,0
official,a,141,6,34460000,233,42b7d92684927db5,0,0
official,a,142,3,38709000,233,cbf924fdba614a84,0,0
official,a,143,3,38895000,233,cbf924fdba614a84,0,0
official,a,144,7,38084000,233,e6a4fb77cd98825a,0,0
official,a,145,6,34502000,233,42b7d92684927db5,0,0
official,a,146,0,53637000,233,0617d6741d8fd4e4,0,0
official,a,147,8,34379000,233,65f7bb9d831e4524,0,0
official,a,148,4,34961000,233,267be939651e4196,0,0
official,a,149,8,34318000,233,65f7bb9d831e4524,0,0
official,a,150,5,41511000,233,1fdd60a5d4da0c58,0,0
official,a,151,0,53885000,233,0617d6741d8fd4e4,0,0
official,a,152,1,34836000,233,00d7bdc064a43a01,0,0
official,a,153,4,34977000,233,267be939651e4196,0,0
official,a,154,3,38994000,233,cbf924fdba614a84,0,0
official,a,155,7,38293000,233,e6a4fb77cd98825a,0,0
official,a,156,4,34985000,233,267be939651e4196,0,0
official,a,157,5,41460000,233,1fdd60a5d4da0c58,0,0
official,a,158,1,34880000,233,00d7bdc064a43a01,0,0
official,a,159,8,34406000,233,65f7bb9d831e4524,0,0
official,a,160,9,34551000,233,1dd01d463a1ae956,0,0
official,a,161,9,34558000,233,1dd01d463a1ae956,0,0
