sample,pair,class,order,seed,elapsed_ns,d4_inputs,d4_attempts,d4_first_failures,d8_inputs,d8_attempts,d8_first_failures,d16_inputs,d16_attempts,d16_first_failures,ml2_inputs,ml2_attempts,ml2_first_failures,signature_fnv64
0,0,A,A-first,5999710954555133489,806234000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
1,0,B,A-first,5999710954555133489,806743000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
2,1,B,B-first,5999710954555133489,807580000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
3,1,A,B-first,5999710954555133489,806920000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
4,2,A,A-first,5999710954555133489,808222000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
5,2,B,A-first,5999710954555133489,806203000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
6,3,B,B-first,5999710954555133489,805833000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
7,3,A,B-first,5999710954555133489,807337000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
8,4,A,A-first,5999710954555133489,807469000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
9,4,B,A-first,5999710954555133489,806113000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
10,5,B,B-first,5999710954555133489,806466000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
11,5,A,B-first,5999710954555133489,805772000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
12,6,A,A-first,5999710954555133489,808704000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
13,6,B,A-first,5999710954555133489,806415000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
14,7,B,B-first,5999710954555133489,806505000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
15,7,A,B-first,5999710954555133489,806320000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
16,8,A,A-first,5999710954555133489,804595000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
17,8,B,A-first,5999710954555133489,807873000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
18,9,B,B-first,5999710954555133489,809383000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
19,9,A,B-first,5999710954555133489,808010000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
20,10,A,A-first,5999710954555133489,806412000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
21,10,B,A-first,5999710954555133489,813750000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
22,11,B,B-first,5999710954555133489,817256000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
23,11,A,B-first,5999710954555133489,809087000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
24,12,A,A-first,5999710954555133489,807262000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
25,12,B,A-first,5999710954555133489,814217000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
26,13,B,B-first,5999710954555133489,813757000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
27,13,A,B-first,5999710954555133489,807667000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
28,14,A,A-first,5999710954555133489,806839000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
29,14,B,A-first,5999710954555133489,803886000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
30,15,B,B-first,5999710954555133489,805769000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
31,15,A,B-first,5999710954555133489,804798000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
32,16,A,A-first,5999710954555133489,806332000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
33,16,B,A-first,5999710954555133489,805591000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
34,17,B,B-first,5999710954555133489,805864000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
35,17,A,B-first,5999710954555133489,807378000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
36,18,A,A-first,5999710954555133489,805314000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
37,18,B,A-first,5999710954555133489,807069000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
38,19,B,B-first,5999710954555133489,808370000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
39,19,A,B-first,5999710954555133489,806934000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
40,20,A,A-first,5999710954555133489,806347000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
41,20,B,A-first,5999710954555133489,806052000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
42,21,B,B-first,5999710954555133489,805316000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
43,21,A,B-first,5999710954555133489,804904000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
44,22,A,A-first,5999710954555133489,806306000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
45,22,B,A-first,5999710954555133489,806334000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
46,23,B,B-first,5999710954555133489,804316000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
47,23,A,B-first,5999710954555133489,805873000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
48,24,A,A-first,5999710954555133489,805405000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
49,24,B,A-first,5999710954555133489,805622000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
50,25,B,B-first,5999710954555133489,806561000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
51,25,A,B-first,5999710954555133489,807046000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
52,26,A,A-first,5999710954555133489,804923000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
53,26,B,A-first,5999710954555133489,806023000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
54,27,B,B-first,5999710954555133489,806419000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
55,27,A,B-first,5999710954555133489,807714000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
56,28,A,A-first,5999710954555133489,807577000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
57,28,B,A-first,5999710954555133489,807046000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
58,29,B,B-first,5999710954555133489,808636000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
59,29,A,B-first,5999710954555133489,808848000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
60,30,A,A-first,5999710954555133489,809109000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
61,30,B,A-first,5999710954555133489,807891000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
62,31,B,B-first,5999710954555133489,807306000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
63,31,A,B-first,5999710954555133489,805760000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
64,32,A,A-first,5999710954555133489,808013000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
65,32,B,A-first,5999710954555133489,807011000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
66,33,B,B-first,5999710954555133489,809196000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
67,33,A,B-first,5999710954555133489,808265000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
68,34,A,A-first,5999710954555133489,807571000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
69,34,B,A-first,5999710954555133489,808689000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
70,35,B,B-first,5999710954555133489,808293000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
71,35,A,B-first,5999710954555133489,806930000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
72,36,A,A-first,5999710954555133489,809217000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
73,36,B,A-first,5999710954555133489,807459000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
74,37,B,B-first,5999710954555133489,806522000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
75,37,A,B-first,5999710954555133489,805955000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
