sample,pair,class,order,seed,elapsed_ns,d4_inputs,d4_attempts,d4_first_failures,d8_inputs,d8_attempts,d8_first_failures,d16_inputs,d16_attempts,d16_first_failures,ml2_inputs,ml2_attempts,ml2_first_failures,signature_fnv64
0,0,A,A-first,5999710954555133489,806978000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
1,0,B,A-first,5999710954555133489,806949000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
2,1,B,B-first,5999710954555133489,806200000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
3,1,A,B-first,5999710954555133489,808041000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
4,2,A,A-first,5999710954555133489,810648000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
5,2,B,A-first,5999710954555133489,809776000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
6,3,B,B-first,5999710954555133489,809871000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
7,3,A,B-first,5999710954555133489,811200000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
8,4,A,A-first,5999710954555133489,810174000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
9,4,B,A-first,5999710954555133489,809172000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
10,5,B,B-first,5999710954555133489,806624000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
11,5,A,B-first,5999710954555133489,807894000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
12,6,A,A-first,5999710954555133489,806760000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
13,6,B,A-first,5999710954555133489,805222000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
14,7,B,B-first,5999710954555133489,809755000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
15,7,A,B-first,5999710954555133489,808052000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
16,8,A,A-first,5999710954555133489,808810000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
17,8,B,A-first,5999710954555133489,809593000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
18,9,B,B-first,5999710954555133489,810310000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
19,9,A,B-first,5999710954555133489,809964000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
20,10,A,A-first,5999710954555133489,809148000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
21,10,B,A-first,5999710954555133489,809554000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
22,11,B,B-first,5999710954555133489,810473000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
23,11,A,B-first,5999710954555133489,807800000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
24,12,A,A-first,5999710954555133489,811181000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
25,12,B,A-first,5999710954555133489,809079000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
26,13,B,B-first,5999710954555133489,810936000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
27,13,A,B-first,5999710954555133489,808495000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
28,14,A,A-first,5999710954555133489,809105000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
29,14,B,A-first,5999710954555133489,805813000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
30,15,B,B-first,5999710954555133489,805634000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
31,15,A,B-first,5999710954555133489,806826000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
32,16,A,A-first,5999710954555133489,809695000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
33,16,B,A-first,5999710954555133489,810912000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
34,17,B,B-first,5999710954555133489,809664000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
35,17,A,B-first,5999710954555133489,808619000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
36,18,A,A-first,5999710954555133489,804925000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
37,18,B,A-first,5999710954555133489,808469000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
38,19,B,B-first,5999710954555133489,806689000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
39,19,A,B-first,5999710954555133489,805680000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
40,20,A,A-first,5999710954555133489,809149000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
41,20,B,A-first,5999710954555133489,807342000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
42,21,B,B-first,5999710954555133489,807633000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
43,21,A,B-first,5999710954555133489,809805000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
44,22,A,A-first,5999710954555133489,809540000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
45,22,B,A-first,5999710954555133489,809649000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
46,23,B,B-first,5999710954555133489,808366000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
47,23,A,B-first,5999710954555133489,809317000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
48,24,A,A-first,5999710954555133489,810126000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
49,24,B,A-first,5999710954555133489,805962000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
50,25,B,B-first,5999710954555133489,809891000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
51,25,A,B-first,5999710954555133489,811158000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
52,26,A,A-first,5999710954555133489,810675000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
53,26,B,A-first,5999710954555133489,810614000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
54,27,B,B-first,5999710954555133489,810801000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
55,27,A,B-first,5999710954555133489,805907000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
56,28,A,A-first,5999710954555133489,809869000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
57,28,B,A-first,5999710954555133489,810751000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
58,29,B,B-first,5999710954555133489,810301000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
59,29,A,B-first,5999710954555133489,810052000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
60,30,A,A-first,5999710954555133489,809161000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
61,30,B,A-first,5999710954555133489,808474000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
62,31,B,B-first,5999710954555133489,808973000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
63,31,A,B-first,5999710954555133489,805588000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
64,32,A,A-first,5999710954555133489,809609000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
65,32,B,A-first,5999710954555133489,808630000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
66,33,B,B-first,5999710954555133489,810229000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
67,33,A,B-first,5999710954555133489,808724000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
68,34,A,A-first,5999710954555133489,808256000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
69,34,B,A-first,5999710954555133489,805896000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
70,35,B,B-first,5999710954555133489,806939000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
71,35,A,B-first,5999710954555133489,807348000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
72,36,A,A-first,5999710954555133489,806945000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
73,36,B,A-first,5999710954555133489,809559000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
74,37,B,B-first,5999710954555133489,808601000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
75,37,A,B-first,5999710954555133489,810183000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
76,38,A,A-first,5999710954555133489,811739000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
77,38,B,A-first,5999710954555133489,811889000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
78,39,B,B-first,5999710954555133489,811340000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
79,39,A,B-first,5999710954555133489,811012000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
80,40,A,A-first,5999710954555133489,806972000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
81,40,B,A-first,5999710954555133489,808474000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
82,41,B,B-first,5999710954555133489,810788000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
83,41,A,B-first,5999710954555133489,806438000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
84,42,A,A-first,5999710954555133489,810192000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
85,42,B,A-first,5999710954555133489,810879000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
86,43,B,B-first,5999710954555133489,810014000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
87,43,A,B-first,5999710954555133489,810962000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
88,44,A,A-first,5999710954555133489,806220000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
89,44,B,A-first,5999710954555133489,805325000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
90,45,B,B-first,5999710954555133489,808872000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
91,45,A,B-first,5999710954555133489,807968000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
92,46,A,A-first,5999710954555133489,810708000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
93,46,B,A-first,5999710954555133489,808566000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
94,47,B,B-first,5999710954555133489,807604000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
95,47,A,B-first,5999710954555133489,812025000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
96,48,A,A-first,5999710954555133489,811665000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
97,48,B,A-first,5999710954555133489,809550000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
98,49,B,B-first,5999710954555133489,812539000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
99,49,A,B-first,5999710954555133489,809956000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
100,50,A,A-first,5999710954555133489,810564000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
101,50,B,A-first,5999710954555133489,807640000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
102,51,B,B-first,5999710954555133489,808863000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
103,51,A,B-first,5999710954555133489,810313000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
104,52,A,A-first,5999710954555133489,808266000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
105,52,B,A-first,5999710954555133489,810669000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
