function,source,baseline_frame_bytes,baseline_qualifiers,d2_disposition,d2_frame_bytes,d2_qualifiers,delta_bytes
pairing_dlog_2_tate,src/pqm4/sqisign_p324_3/m4f/biextension.c,5776,dynamic,static_local_frame,7736,static,1960
secret_key_to_bytes,src/pqm4/sqisign_p324_3/m4f/encode_secret.c,192,"dynamic,bounded",static_local_frame,72,static,-120
secret_key_from_bytes,src/pqm4/sqisign_p324_3/m4f/encode_secret.c,200,"dynamic,bounded",static_local_frame,72,static,-128
fp2_batched_inv,src/pqm4/sqisign_p324_3/m4f/fp2.c,248,dynamic,static_local_frame,2352,static,2104
gluing_start_chain,src/pqm4/sqisign_p324_3/m4f/gluing.c,3120,dynamic,static_local_frame,16856,static,13736
iso_isogeny_2chain_with_strategy,src/pqm4/sqisign_p324_3/m4f/isog.c,664,dynamic,static_local_frame,2440,static,1776
mp_lehmer_combine,src/pqm4/sqisign_p324_3/m4f/mp.c,72,dynamic,static_local_frame,1040,static,968
mp_div_d2n1n,src/pqm4/sqisign_p324_3/m4f/mp.c,104,dynamic,static_local_frame,1288,static,1184
mp_div_d3n2n,src/pqm4/sqisign_p324_3/m4f/mp.c,64,dynamic,static_local_frame,800,static,736
mp_div_unsigned,src/pqm4/sqisign_p324_3/m4f/mp.c,112,dynamic,inlined_or_eliminated,,not_emitted,
mp_mul_small_signed,src/pqm4/sqisign_p324_3/m4f/mp.c,304,dynamic,static_local_frame,544,static,240
ibz_div,src/pqm4/sqisign_p324_3/m4f/mp.c,632,dynamic,static_local_frame,2360,static,1728
ibz_mod,src/pqm4/sqisign_p324_3/m4f/mp.c,624,dynamic,static_local_frame,2336,static,1712
ibz_mod_ui,src/pqm4/sqisign_p324_3/m4f/mp.c,1096,dynamic,static_local_frame,2808,static,1712
ibz_gcd,src/pqm4/sqisign_p324_3/m4f/mp.c,616,dynamic,static_local_frame,2856,static,2240
ibz_xgcd,src/pqm4/sqisign_p324_3/m4f/mp.c,3120,dynamic,static_local_frame,4408,static,1288
ibz_invmod,src/pqm4/sqisign_p324_3/m4f/mp.c,2096,dynamic,static_local_frame,3408,static,1312
ibz_sqrt_floor,src/pqm4/sqisign_p324_3/m4f/mp.c,192,dynamic,static_local_frame,4584,static,4392
theta_chain_compute_impl,src/pqm4/sqisign_p324_3/m4f/theta_isogenies.c,4624,dynamic,static_local_frame,12728,static,8104
