implementation,pass,sequence,key,repetition,sign_us,sign_psp,verify_us,verify_psp,signature_fnv1a64
baseline,A,0,3,0,7103721,101060,899355,37444,cbf924fdba614a84
baseline,A,1,9,0,6270990,101060,858015,37444,1dd01d463a1ae956
baseline,A,2,6,0,6350953,101060,901268,37444,42b7d92684927db5
baseline,A,3,0,0,9624377,101060,855387,37444,0617d6741d8fd4e4
baseline,A,4,2,0,6835215,101060,854300,37444,8377eaac40e0e967
baseline,A,5,4,0,6511185,101060,855131,37444,267be939651e4196
baseline,A,6,5,0,7455929,101060,897675,37444,1fdd60a5d4da0c58
baseline,A,7,8,0,6230229,101060,854268,37444,65f7bb9d831e4524
baseline,A,8,5,1,7454959,101060,897908,37444,1fdd60a5d4da0c58
baseline,A,9,0,1,9623519,101060,855579,37444,0617d6741d8fd4e4
baseline,A,10,4,1,6511489,101060,855219,37444,267be939651e4196
baseline,A,11,8,1,6230472,101060,854172,37444,65f7bb9d831e4524
baseline,A,12,6,1,6350075,101060,901345,37444,42b7d92684927db5
baseline,A,13,1,0,6445027,101060,858123,37444,00d7bdc064a43a01
baseline,A,14,1,1,6444960,101060,858139,37444,00d7bdc064a43a01
baseline,A,15,7,0,6913200,101060,856630,37444,e6a4fb77cd98825a
baseline,A,16,1,2,6445312,101060,858067,37444,00d7bdc064a43a01
baseline,A,17,8,2,6230793,101060,854298,37444,65f7bb9d831e4524
baseline,A,18,6,2,6350236,101060,901182,37444,42b7d92684927db5
baseline,A,19,3,1,7103670,101060,899799,37444,cbf924fdba614a84
baseline,A,20,9,1,6271884,101060,858011,37444,1dd01d463a1ae956
baseline,A,21,4,2,6510675,101060,855277,37444,267be939651e4196
baseline,A,22,2,1,6834865,101060,854208,37444,8377eaac40e0e967
baseline,A,23,0,2,9623375,101060,855168,37444,0617d6741d8fd4e4
baseline,A,24,8,3,6231020,101060,854370,37444,65f7bb9d831e4524
baseline,A,25,2,2,6835540,101060,854365,37444,8377eaac40e0e967
baseline,A,26,5,2,7455516,101060,897225,37444,1fdd60a5d4da0c58
baseline,A,27,5,3,7455569,101060,897617,37444,1fdd60a5d4da0c58
baseline,A,28,0,3,9623839,101060,855424,37444,0617d6741d8fd4e4
baseline,A,29,7,1,6913449,101060,856823,37444,e6a4fb77cd98825a
baseline,A,30,7,2,6912236,101060,856730,37444,e6a4fb77cd98825a
baseline,A,31,1,3,6445427,101060,858047,37444,00d7bdc064a43a01
baseline,A,32,3,2,7104178,101060,899872,37444,cbf924fdba614a84
baseline,A,33,3,3,7104280,101060,899952,37444,cbf924fdba614a84
baseline,A,34,9,2,6272564,101060,857870,37444,1dd01d463a1ae956
baseline,A,35,5,4,7454616,101060,897778,37444,1fdd60a5d4da0c58
baseline,A,36,1,4,6444872,101060,857992,37444,00d7bdc064a43a01
baseline,A,37,0,4,9623059,101060,855520,37444,0617d6741d8fd4e4
baseline,A,38,2,3,6834848,101060,854628,37444,8377eaac40e0e967
baseline,A,39,4,3,6511145,101060,854846,37444,267be939651e4196
baseline,A,40,7,3,6912672,101060,856639,37444,e6a4fb77cd98825a
baseline,A,41,8,4,6230749,101060,854163,37444,65f7bb9d831e4524
baseline,A,42,6,3,6350552,101060,901292,37444,42b7d92684927db5
baseline,A,43,3,4,7103846,101060,899754,37444,cbf924fdba614a84
baseline,A,44,4,4,6510838,101060,854907,37444,267be939651e4196
baseline,A,45,2,4,6835526,101060,854484,37444,8377eaac40e0e967
baseline,A,46,7,4,6912889,101060,856375,37444,e6a4fb77cd98825a
baseline,A,47,9,3,6271890,101060,858218,37444,1dd01d463a1ae956
baseline,A,48,6,4,6350127,101060,901237,37444,42b7d92684927db5
baseline,A,49,9,4,6272113,101060,858135,37444,1dd01d463a1ae956
baseline,B,0,6,0,6351255,101060,901165,37444,42b7d92684927db5
baseline,B,1,0,0,9624124,101060,855605,37444,0617d6741d8fd4e4
baseline,B,2,0,1,9623969,101060,855468,37444,0617d6741d8fd4e4
baseline,B,3,8,0,6230734,101060,854213,37444,65f7bb9d831e4524
baseline,B,4,7,0,6912896,101060,856569,37444,e6a4fb77cd98825a
baseline,B,5,6,1,6350253,101060,901098,37444,42b7d92684927db5
baseline,B,6,9,0,6271900,101060,858015,37444,1dd01d463a1ae956
baseline,B,7,6,2,6350364,101060,901336,37444,42b7d92684927db5
baseline,B,8,9,1,6272495,101060,858051,37444,1dd01d463a1ae956
baseline,B,9,9,2,6271370,101060,858128,37444,1dd01d463a1ae956
baseline,B,10,5,0,7455384,101060,897604,37444,1fdd60a5d4da0c58
baseline,B,11,4,0,6510771,101060,854976,37444,267be939651e4196
baseline,B,12,3,0,7103959,101060,899664,37444,cbf924fdba614a84
baseline,B,13,2,0,6835946,101060,854164,37444,8377eaac40e0e967
baseline,B,14,2,1,6835780,101060,854288,37444,8377eaac40e0e967
baseline,B,15,1,0,6445781,101060,858309,37444,00d7bdc064a43a01
baseline,B,16,8,1,6230613,101060,854346,37444,65f7bb9d831e4524
baseline,B,17,1,1,6445070,101060,857885,37444,00d7bdc064a43a01
baseline,B,18,1,2,6445064,101060,857916,37444,00d7bdc064a43a01
baseline,B,19,5,1,7454953,101060,897763,37444,1fdd60a5d4da0c58
baseline,B,20,2,2,6834817,101060,854425,37444,8377eaac40e0e967
baseline,B,21,4,1,6510270,101060,855124,37444,267be939651e4196
baseline,B,22,2,3,6835581,101060,854208,37444,8377eaac40e0e967
baseline,B,23,6,3,6350384,101060,901493,37444,42b7d92684927db5
baseline,B,24,1,3,6444894,101060,857922,37444,00d7bdc064a43a01
baseline,B,25,4,2,6512030,101060,855419,37444,267be939651e4196
baseline,B,26,0,2,9624039,101060,855321,37444,0617d6741d8fd4e4
baseline,B,27,7,1,6912698,101060,856758,37444,e6a4fb77cd98825a
baseline,B,28,7,2,6912263,101060,856487,37444,e6a4fb77cd98825a
baseline,B,29,1,4,6445049,101060,858113,37444,00d7bdc064a43a01
baseline,B,30,7,3,6912670,101060,856956,37444,e6a4fb77cd98825a
baseline,B,31,0,3,9623573,101060,855176,37444,0617d6741d8fd4e4
baseline,B,32,3,1,7104120,101060,899727,37444,cbf924fdba614a84
baseline,B,33,9,3,6271951,101060,857963,37444,1dd01d463a1ae956
baseline,B,34,5,2,7455182,101060,897525,37444,1fdd60a5d4da0c58
baseline,B,35,8,2,6230676,101060,854352,37444,65f7bb9d831e4524
baseline,B,36,9,4,6271888,101060,857981,37444,1dd01d463a1ae956
baseline,B,37,5,3,7455089,101060,897434,37444,1fdd60a5d4da0c58
baseline,B,38,3,2,7103208,101060,900026,37444,cbf924fdba614a84
baseline,B,39,4,3,6510579,101060,855331,37444,267be939651e4196
baseline,B,40,3,3,7104513,101060,899532,37444,cbf924fdba614a84
baseline,B,41,0,4,9623699,101060,855479,37444,0617d6741d8fd4e4
baseline,B,42,5,4,7455714,101060,897779,37444,1fdd60a5d4da0c58
baseline,B,43,2,4,6835482,101060,854450,37444,8377eaac40e0e967
baseline,B,44,4,4,6510257,101060,855149,37444,267be939651e4196
baseline,B,45,6,4,6350542,101060,901165,37444,42b7d92684927db5
baseline,B,46,8,3,6230377,101060,854143,37444,65f7bb9d831e4524
baseline,B,47,7,4,6912584,101060,856713,37444,e6a4fb77cd98825a
baseline,B,48,8,4,6230063,101060,853752,37444,65f7bb9d831e4524
baseline,B,49,3,4,7103483,101060,900092,37444,cbf924fdba614a84
d1,A,0,3,0,7045230,97132,897610,37444,cbf924fdba614a84
d1,A,1,9,0,6213047,97132,855450,37444,1dd01d463a1ae956
d1,A,2,6,0,6291407,97132,899134,37444,42b7d92684927db5
d1,A,3,0,0,9569045,97132,853248,37444,0617d6741d8fd4e4
d1,A,4,2,0,6777340,97132,852264,37444,8377eaac40e0e967
d1,A,5,4,0,6451256,97132,852968,37444,267be939651e4196
d1,A,6,5,0,7397261,97132,895256,37444,1fdd60a5d4da0c58
d1,A,7,8,0,6170945,97132,852191,37444,65f7bb9d831e4524
d1,A,8,5,1,7396143,97132,895238,37444,1fdd60a5d4da0c58
d1,A,9,0,1,9568415,97132,853341,37444,0617d6741d8fd4e4
d1,A,10,4,1,6451009,97132,852986,37444,267be939651e4196
d1,A,11,8,1,6171248,97132,851914,37444,65f7bb9d831e4524
d1,A,12,6,1,6291133,97132,899030,37444,42b7d92684927db5
d1,A,13,1,0,6385480,97132,856011,37444,00d7bdc064a43a01
