implementation,pass,key,samples,median_sign_us,mean_sign_us,mad_sign_us,min_sign_us,max_sign_us,signature_fnv1a64
baseline,A,0,5,9623519,9623633.8,320.0,9623059,9624377,0617d6741d8fd4e4
baseline,A,1,5,6445027,6445119.6,155.0,6444872,6445427,00d7bdc064a43a01
baseline,A,2,5,6835215,6835198.8,325.0,6834848,6835540,8377eaac40e0e967
baseline,A,3,5,7103846,7103939,176.0,7103670,7104280,cbf924fdba614a84
baseline,A,4,5,6511145,6511066.4,307.0,6510675,6511489,267be939651e4196
baseline,A,5,5,7455516,7455317.8,413.0,7454616,7455929,1fdd60a5d4da0c58
baseline,A,6,5,6350236,6350388.6,161.0,6350075,6350953,42b7d92684927db5
baseline,A,7,5,6912889,6912889.2,311.0,6912236,6913449,e6a4fb77cd98825a
baseline,A,8,5,6230749,6230652.6,271.0,6230229,6231020,65f7bb9d831e4524
baseline,A,9,5,6271890,6271888.2,223.0,6270990,6272564,1dd01d463a1ae956
baseline,B,0,5,9623969,9623880.8,155.0,9623573,9624124,0617d6741d8fd4e4
baseline,B,1,5,6445064,6445171.6,15.0,6444894,6445781,00d7bdc064a43a01
baseline,B,2,5,6835581,6835521.2,199.0,6834817,6835946,8377eaac40e0e967
baseline,B,3,5,7103959,7103856.6,476.0,7103208,7104513,cbf924fdba614a84
baseline,B,4,5,6510579,6510781.4,309.0,6510257,6512030,267be939651e4196
baseline,B,5,5,7455182,7455264.4,202.0,7454953,7455714,1fdd60a5d4da0c58
baseline,B,6,5,6350384,6350559.6,131.0,6350253,6351255,42b7d92684927db5
baseline,B,7,5,6912670,6912622.2,86.0,6912263,6912896,e6a4fb77cd98825a
baseline,B,8,5,6230613,6230492.6,121.0,6230063,6230734,65f7bb9d831e4524
baseline,B,9,5,6271900,6271920.8,51.0,6271370,6272495,1dd01d463a1ae956
d1,A,0,5,9569208,9569123,163.0,9568415,9569683,0617d6741d8fd4e4
d1,A,1,5,6385408,6385227.4,233.0,6384718,6385641,00d7bdc064a43a01
d1,A,2,5,6777009,6776904,290.0,6776202,6777340,8377eaac40e0e967
d1,A,3,5,7045378,7045332.8,108.0,7045192,7045486,cbf924fdba614a84
d1,A,4,5,6451009,6450973.6,194.0,6450534,6451256,267be939651e4196
d1,A,5,5,7396623,7396502.6,480.0,7395794,7397261,1fdd60a5d4da0c58
d1,A,6,5,6291306,6291211.6,173.0,6290730,6291482,42b7d92684927db5
d1,A,7,5,6853938,6854208.6,46.0,6853892,6855029,e6a4fb77cd98825a
d1,A,8,5,6171248,6171270.4,303.0,6170831,6172017,65f7bb9d831e4524
d1,A,9,5,6213047,6213032.6,222.0,6212552,6213292,1dd01d463a1ae956
d1,B,0,5,9568783,9568854.2,170.0,9568260,9569504,0617d6741d8fd4e4
d1,B,1,5,6385678,6385752,163.0,6385433,6386221,00d7bdc064a43a01
d1,B,2,5,6776584,6776583.4,125.0,6776071,6777216,8377eaac40e0e967
d1,B,3,5,7044846,7045025.6,247.0,7044599,7045603,cbf924fdba614a84
d1,B,4,5,6451278,6451138.2,218.0,6450573,6451496,267be939651e4196
d1,B,5,5,7396563,7396537.8,213.0,7396266,7396923,1fdd60a5d4da0c58
d1,B,6,5,6291015,6291002.8,314.0,6290443,6291491,42b7d92684927db5
d1,B,7,5,6854652,6854562.8,8.0,6854106,6854753,e6a4fb77cd98825a
d1,B,8,5,6171695,6171639,143.0,6171379,6171838,65f7bb9d831e4524
d1,B,9,5,6213223,6213229.4,266.0,6212941,6213538,1dd01d463a1ae956
