round,order_in_round,kind,operation,time_us,psp_extent_bytes,capture_sha256
1,1,official,keygen,2263611,56972,11e0eeb14e085a0b730cfe66f3b94ae77e2e0c19a5939f4ee92054e284d68565
1,1,official,sign,7152762,101060,11e0eeb14e085a0b730cfe66f3b94ae77e2e0c19a5939f4ee92054e284d68565
1,1,official,verify,822185,37444,11e0eeb14e085a0b730cfe66f3b94ae77e2e0c19a5939f4ee92054e284d68565
1,2,d1,keygen,2269112,56972,4bd0aadb5df6a3984dcd0b967885b47096816b165858dfd35d86234c6a698168
1,2,d1,sign,7182970,97132,4bd0aadb5df6a3984dcd0b967885b47096816b165858dfd35d86234c6a698168
1,2,d1,verify,820632,37444,4bd0aadb5df6a3984dcd0b967885b47096816b165858dfd35d86234c6a698168
2,1,d1,keygen,2269350,56972,c6fa59c4d977c1a13f5cba0b7a8d98966ae093cb7425279d4ef8dff594c1112b
2,1,d1,sign,7182444,97132,c6fa59c4d977c1a13f5cba0b7a8d98966ae093cb7425279d4ef8dff594c1112b
2,1,d1,verify,820762,37444,c6fa59c4d977c1a13f5cba0b7a8d98966ae093cb7425279d4ef8dff594c1112b
2,2,official,keygen,2263891,56972,74a1936176ff01ef057c40a9b00927049e10d56c348e8441a8769d1d65562c69
2,2,official,sign,7153001,101060,74a1936176ff01ef057c40a9b00927049e10d56c348e8441a8769d1d65562c69
2,2,official,verify,822058,37444,74a1936176ff01ef057c40a9b00927049e10d56c348e8441a8769d1d65562c69
3,1,official,keygen,2263844,56972,2b6166e62417e8526683c29d7a12f24867178a3461a389e6aac264c99e0ef6fc
3,1,official,sign,7152953,101060,2b6166e62417e8526683c29d7a12f24867178a3461a389e6aac264c99e0ef6fc
3,1,official,verify,821977,37444,2b6166e62417e8526683c29d7a12f24867178a3461a389e6aac264c99e0ef6fc
3,2,d1,keygen,2268914,56972,39908561dc3d6b11bcbf41523869a432960d366c140b377e528c28946a409396
3,2,d1,sign,7182865,97132,39908561dc3d6b11bcbf41523869a432960d366c140b377e528c28946a409396
3,2,d1,verify,820921,37444,39908561dc3d6b11bcbf41523869a432960d366c140b377e528c28946a409396
4,1,d1,keygen,2269117,56972,9786b0f3067105720e592117e29accf897d8e06aff34bc691a20fe3da109e5bd
4,1,d1,sign,7183168,97132,9786b0f3067105720e592117e29accf897d8e06aff34bc691a20fe3da109e5bd
4,1,d1,verify,820756,37444,9786b0f3067105720e592117e29accf897d8e06aff34bc691a20fe3da109e5bd
4,2,official,keygen,2263417,56972,ea9a2167cca83ef25f48d4f9a7bb5713f7ffa4877b019c07f6c0f9618dbe4751
4,2,official,sign,7152943,101060,ea9a2167cca83ef25f48d4f9a7bb5713f7ffa4877b019c07f6c0f9618dbe4751
4,2,official,verify,822095,37444,ea9a2167cca83ef25f48d4f9a7bb5713f7ffa4877b019c07f6c0f9618dbe4751
5,1,official,keygen,2263496,56972,1a34147ad0c925e0cc527f3bad6ee8948750f46eeba3f8b7ab4b99f82006217c
5,1,official,sign,7152761,101060,1a34147ad0c925e0cc527f3bad6ee8948750f46eeba3f8b7ab4b99f82006217c
5,1,official,verify,822098,37444,1a34147ad0c925e0cc527f3bad6ee8948750f46eeba3f8b7ab4b99f82006217c
5,2,d1,keygen,2269165,56972,46ea25b69fa0aee058ff570aad4e93e8f9b11dbf3d30f1f15794893bcc615633
5,2,d1,sign,7182098,97132,46ea25b69fa0aee058ff570aad4e93e8f9b11dbf3d30f1f15794893bcc615633
5,2,d1,verify,820976,37444,46ea25b69fa0aee058ff570aad4e93e8f9b11dbf3d30f1f15794893bcc615633
