round,order_in_round,kind,operation,time_us,psp_extent_bytes,capture_sha256
1,1,official,keygen,2263647,56972,ce8f106d0d8e05fc771c747538c9ae2119bca86bd262cbfcd1c0d862db399546
1,1,official,sign,7153005,101060,ce8f106d0d8e05fc771c747538c9ae2119bca86bd262cbfcd1c0d862db399546
1,1,official,verify,822188,37444,ce8f106d0d8e05fc771c747538c9ae2119bca86bd262cbfcd1c0d862db399546
1,2,d1,keygen,2268948,56972,4f1743b76f64dcdd6f1363b97dd4014ed10167bd5c2e58cf00f2d6b650881127
1,2,d1,sign,7182418,97132,4f1743b76f64dcdd6f1363b97dd4014ed10167bd5c2e58cf00f2d6b650881127
1,2,d1,verify,820780,37444,4f1743b76f64dcdd6f1363b97dd4014ed10167bd5c2e58cf00f2d6b650881127
2,1,d1,keygen,2269166,56972,a8ca346984c6dcfb605a02d9b17692597e4deecdb0dc6725fff0596eec3244e0
2,1,d1,sign,7182371,97132,a8ca346984c6dcfb605a02d9b17692597e4deecdb0dc6725fff0596eec3244e0
2,1,d1,verify,820921,37444,a8ca346984c6dcfb605a02d9b17692597e4deecdb0dc6725fff0596eec3244e0
2,2,official,keygen,2263753,56972,41e4b36cdbff5c12249c6c8eb184621656482eb92cae007baa37977bf92b187f
2,2,official,sign,7152316,101060,41e4b36cdbff5c12249c6c8eb184621656482eb92cae007baa37977bf92b187f
2,2,official,verify,821992,37444,41e4b36cdbff5c12249c6c8eb184621656482eb92cae007baa37977bf92b187f
3,1,official,keygen,2263485,56972,c4652f2bccc24554e430a51331c22f5d94b9a04a36f58d84a8afe07b21578b87
3,1,official,sign,7152447,101060,c4652f2bccc24554e430a51331c22f5d94b9a04a36f58d84a8afe07b21578b87
3,1,official,verify,822127,37444,c4652f2bccc24554e430a51331c22f5d94b9a04a36f58d84a8afe07b21578b87
3,2,d1,keygen,2269603,56972,43d7be4a31f311a075d7d141e1ea5a61be977698ef7fb3c9e9642561c0129c79
3,2,d1,sign,7182418,97132,43d7be4a31f311a075d7d141e1ea5a61be977698ef7fb3c9e9642561c0129c79
3,2,d1,verify,820641,37444,43d7be4a31f311a075d7d141e1ea5a61be977698ef7fb3c9e9642561c0129c79
4,1,d1,keygen,2269124,56972,30f505e1c0fa9fc252422847a638166ea96c375a3332f24842fd9058452cb602
4,1,d1,sign,7182912,97132,30f505e1c0fa9fc252422847a638166ea96c375a3332f24842fd9058452cb602
4,1,d1,verify,820959,37444,30f505e1c0fa9fc252422847a638166ea96c375a3332f24842fd9058452cb602
4,2,official,keygen,2263654,56972,63c772d10cb39c45e2dab77059f2e205d8f03f18089e4e09ac13d154dfd669a0
4,2,official,sign,7153058,101060,63c772d10cb39c45e2dab77059f2e205d8f03f18089e4e09ac13d154dfd669a0
4,2,official,verify,822142,37444,63c772d10cb39c45e2dab77059f2e205d8f03f18089e4e09ac13d154dfd669a0
5,1,official,keygen,2263745,56972,453b62b3c5fd562abdfaf1259ad938241f9362b5a3ca04a6ec25e842adf39e4e
5,1,official,sign,7152690,101060,453b62b3c5fd562abdfaf1259ad938241f9362b5a3ca04a6ec25e842adf39e4e
5,1,official,verify,822248,37444,453b62b3c5fd562abdfaf1259ad938241f9362b5a3ca04a6ec25e842adf39e4e
5,2,d1,keygen,2269266,56972,64d2136dd840e57d47508562abc3e04df053ffa5caed428112cf37d030e7e322
5,2,d1,sign,7182762,97132,64d2136dd840e57d47508562abc3e04df053ffa5caed428112cf37d030e7e322
5,2,d1,verify,820776,37444,64d2136dd840e57d47508562abc3e04df053ffa5caed428112cf37d030e7e322
