condition,kind,placement,vector,message_bytes,operation,time_us,psp_extent_bytes,capture_sha256
baseline-a,baseline,a,0,33,keygen,2256550,56972,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,0,33,sign,7144930,101060,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,0,33,verify,827483,37444,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,0,33,negative,429007,35196,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,1,66,keygen,2083354,56972,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,1,66,sign,8439468,101060,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,1,66,verify,827878,37444,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,1,66,negative,429775,35196,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,2,99,keygen,2383828,56972,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,2,99,sign,7004863,101060,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,2,99,verify,826225,37444,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,2,99,negative,427971,35196,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,3,132,keygen,2559726,56972,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,3,132,sign,7124844,101060,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,3,132,verify,829290,37444,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,3,132,negative,430866,35196,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,4,165,keygen,2162248,56972,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,4,165,sign,6215622,101060,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,4,165,verify,824799,37444,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,4,165,negative,426366,35196,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,5,198,keygen,2854694,56972,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,5,198,sign,8852872,101060,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,5,198,verify,858652,37444,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,5,198,negative,460189,35196,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,6,231,keygen,2271947,56972,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,6,231,sign,6098362,101060,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
baseline-a,baseline,a,6,231,verify,860421,37444,61ea6e1ac567d2a738827fc925708d602365a9e35d36644ac03e04a58e4b5c6b
